UserID,Edad,Genero,Region,GeneroFav,ClaseUsuario,La Piragua,La Gota Fria,Fruta Fresca,Alicia Adorada,Oye Bonita,Matilde Lina,La Celosa,El Santo Cachon,Tierra Mala,La Ventana Marroncita,Mi Hermano y Yo,La Canaguatera,Volvi a Nacer,Dejala,El Cantor de Fonseca,Amor de Primavera,El Amor Mas Grande del Planeta,Obsesion,La Casa en el Aire,El Testamento,Tu Numero Equivocado,La Duena de mi Canto,La Mujer del Pelotero,La Espinita,Dime Pajarito,Los Caminos de la Vida,La Comadre,Parranda en el Cafetal,El Cantinero,Ausencia,Por un Amor,Dame un Besito,Solo para Ti,Colombia Tierra Querida,La Pollera Colora,Cumbia Cienaguera,El Pescador,Cumbia Sampuesana,Soy Colombiano,Cumbia del Rio,La Mucura,El Porro Sabanero,Mi Buenaventura,Carmen de Bolivar,El Sanjuanero,El Toro,Prende la Vela,Tambo Tambo,El Currulao,La Cumbia Alegre,Tierra del Sol,La Nina Lola,Cumbia del Caribe,Porro Bonito,La Aventurera,El Bocachico,Las Tapas,El Carnaval,San Pedro en el Espinal,La Danza del Garabato,El Gallo Tuerto,Cumbia del Magdalena,Cumbia Bonita,Fandanguillo,La Cumbia Cienaguera Remix,El Merecumbe,Bolero Falaz,Florecita Rockera,De Musica Ligera,Lamento Boliviano,Persiana Americana,Rayando el Sol,Clavado en un Bar,La Tierra,Eres,En el Muelle de San Blas,Me Gustas Tu,Labios Compartidos,Ciudad de Luz,Suenos Rotos,Mi Generacion,A Contraluz,Cuando Pase el Temblor,Amor Eterno,Matame,Universo,Salir Corriendo,Dia Cero,El Sonido del Silencio,Trapos,Sin Documentos,Cancion para un Final,Luz de Dia,El Espacio Interior,Nada Personal,Vivo en Mi,La Ventana Azul,Tu Mirada,Ecos de Amor,La Camisa Negra,A Dios le Pido,Es Por Ti,Fotografia,Volverte a Ver,Color Esperanza,Robarte un Beso,La Playa,Por Amarte Asi,Todo Cambio,Bendita tu Luz,Hoy,Decidiste Dejarme,Tal Vez,Mientes,Te Espere,Algo Mas,Entra en mi Vida,Quisiera,Besos Usados,El Amor Despues del Amor,Corre,Tu Amor,Limon y Sal,Eres para Mi,El Amor de Mi Vida,Quedate Conmigo,Cada Dia,Te Mando Flores,Me Enamora,Te Amo,No Creo,Perfecto para Mi,Tusa,Hawai,Mi Gente,Ginza,Felices los 4,6 AM,Chantaje,Ay Dios Mio,Que Pretendes,Sobrio,Borro Cassette,Sin Contrato,Dont Be Shy,Poblado,Criminal,Mamiii,Cuatro Babys,Despacito,Pepas,Vente Pa Ca,Ojitos Lindos,Me Porto Bonito,Amorfoda,Hey Mor,Callaita,Te Bote,Safari,X Equis,Provenza Remix,Coco Chanel,La Cancion,Provenza,Sin Medir Distancias,Cali Pachanguero,Rebelion,Idilio,Gitana,Juanito Alimana,Devorame Otra Vez,Lloraras,Mi Gente Salsa,Periodico de Ayer,El Gran Varon,Brujeria,Conteo Regresivo,Tu con El,Plante Bandera,Quitate Tu,La Cartera,El Cantante,Todo Tiene su Final,Me Libere,Salsa y Control,Anacaona,Una Aventura,Oiga Mire Vea,Que Precio Tiene el Cielo,Casi Te Envidio,Nadie Como Tu,Ven Devorame Otra Vez,Quiero Dormir Cansado,Dejate Querer,Cali Aji,Gitana Salsa,Idilio de Amor,El Amor de la Salsa,Te Conozco Bien,Cali Vive,Te Ensenare a Olvidar
11,58,Masculino,Andina,Pop,Fan del Pop,4,4,0,3,2,1,0,1,4,4,3,1,4,4,4,2,0,4,4,2,2,0,2,3,4,0,0,1,4,4,3,0,0,0,2,4,4,3,0,2,4,2,3,4,1,4,1,0,3,1,4,2,1,2,4,3,4,1,3,3,1,0,3,2,2,0,1,4,3,1,0,4,4,3,3,4,1,1,3,1,0,0,4,1,4,2,4,2,1,1,4,4,2,4,0,2,0,2,1,3,4,3,3,5,4,4,4,5,4,3,4,5,4,3,3,5,5,3,4,3,5,4,5,3,4,3,5,4,4,3,5,5,4,1,2,2,1,0,1,2,0,3,4,3,1,0,2,2,2,0,2,1,1,1,1,2,3,1,3,2,4,2,3,3,2,1,2,2,4,4,3,3,2,2,4,4,0,2,4,2,0,1,2,2,2,2,2,2,1,1,1,3,1,1,3,3,4,1,0,2,0
12,14,Masculino,Andina,Pop,Fan del Pop,0,2,3,4,4,3,3,1,0,1,1,1,0,4,0,0,0,4,0,3,4,4,2,0,2,1,4,1,1,0,1,2,1,2,3,3,0,4,2,4,2,2,3,2,0,0,4,1,3,0,3,3,4,3,2,0,2,4,1,1,0,1,2,1,4,0,4,3,4,0,2,3,0,4,2,2,3,4,0,0,4,2,0,0,2,0,4,2,4,4,3,4,4,2,3,0,1,4,3,3,5,3,3,3,5,4,5,5,5,5,5,4,3,5,5,5,5,4,3,3,4,4,3,4,4,3,5,5,5,3,5,5,3,1,2,1,2,1,1,4,3,1,2,0,2,1,1,1,3,2,0,4,4,3,2,0,4,3,3,0,4,4,1,1,3,0,4,2,2,3,2,3,4,4,1,2,3,3,4,2,2,0,4,4,2,1,0,0,3,2,1,2,1,0,0,4,3,4,0,2,0
13,12,Otro,Pacifico,Folclor,Seguidor del Folclor,0,0,0,4,3,1,3,4,1,4,0,3,3,0,1,1,4,1,0,4,2,0,4,2,0,3,3,0,0,2,2,4,1,5,5,4,5,5,3,3,5,5,5,4,4,3,4,5,3,3,4,3,5,4,4,4,5,3,3,5,4,4,5,4,3,5,3,3,2,4,3,2,0,3,1,1,1,0,4,0,2,4,1,2,1,2,1,1,3,2,0,4,3,4,2,2,3,0,1,1,1,2,0,4,0,4,0,2,2,3,0,1,0,4,2,4,3,2,0,3,1,2,1,4,4,0,1,2,4,3,2,3,0,3,1,4,3,0,2,2,0,1,4,2,0,3,1,0,0,1,0,3,1,2,0,1,0,0,3,0,2,1,3,4,4,1,0,2,2,0,0,3,2,2,2,0,4,3,0,0,2,4,2,0,2,1,2,3,0,0,4,3,1,0,1,3,2,4,4,4,4
14,48,Femenino,Orinoquia,Folclor,Seguidor del Folclor,3,0,1,4,1,4,4,3,0,3,3,3,3,2,4,4,2,3,0,2,3,3,3,0,0,4,2,1,2,0,0,3,2,3,4,5,3,5,3,5,4,5,5,3,3,5,5,4,3,3,4,5,3,4,5,4,5,4,5,4,4,5,5,3,5,5,3,3,4,4,4,1,4,4,2,1,0,1,1,4,0,1,3,0,3,3,2,3,1,1,2,1,3,1,0,0,1,0,0,0,1,0,2,1,4,3,2,1,0,0,1,4,2,3,1,4,4,0,4,2,1,1,2,2,2,4,2,0,4,3,2,1,2,4,4,1,2,4,2,2,2,0,0,4,1,1,1,3,3,1,4,4,2,4,3,4,4,0,1,0,1,0,0,1,1,1,1,4,1,1,1,2,2,3,2,4,1,1,3,4,0,2,4,3,0,0,2,4,2,1,3,2,4,0,4,2,3,2,1,3,3
15,52,Masculino,Orinoquia,Urbano,Amante del Urbano,2,4,2,4,3,3,4,4,1,3,1,3,4,4,2,0,0,4,0,1,0,1,2,0,0,0,3,2,2,0,2,3,3,2,3,2,1,1,0,3,1,2,2,0,4,0,4,1,4,0,2,0,0,4,2,0,3,1,1,0,1,2,2,1,3,3,1,1,0,2,4,3,3,4,2,4,3,1,2,3,2,0,0,0,3,4,0,1,2,2,0,2,4,1,2,3,3,0,4,3,1,1,0,4,1,3,0,3,1,1,2,4,0,4,0,0,4,4,3,4,1,0,2,2,2,3,0,3,1,2,1,1,3,3,3,3,4,5,3,3,5,4,3,3,5,4,3,3,4,4,5,5,4,5,5,3,5,5,4,4,4,4,4,4,5,1,4,4,3,0,0,3,1,3,1,3,3,2,4,0,3,4,4,2,2,1,2,2,3,4,3,4,1,3,0,0,0,1,3,4,0
16,24,Otro,Orinoquia,Salsa,Apasionado de la Salsa,2,2,0,0,0,1,4,4,1,3,3,3,4,2,0,2,2,4,4,3,3,3,2,0,4,4,4,1,1,2,0,2,2,1,0,4,0,1,2,2,2,2,3,2,1,1,2,0,0,1,3,2,0,3,3,0,3,1,3,2,3,0,4,0,3,2,2,3,1,1,1,4,1,2,2,1,4,4,2,3,1,3,2,1,1,3,0,2,4,0,4,0,4,1,4,2,2,4,3,2,4,2,2,1,3,2,1,3,1,0,3,4,4,0,3,2,2,1,1,1,2,1,0,0,1,2,3,1,3,4,1,1,1,2,2,2,4,3,2,3,1,3,2,3,2,1,3,4,4,2,0,2,4,2,2,3,1,0,1,1,3,2,0,3,1,5,5,5,5,5,4,5,4,5,5,4,5,3,3,4,4,5,5,4,4,3,3,5,5,5,3,4,3,4,4,5,5,5,5,3,4
17,17,Otro,Orinoquia,Pop,Fan del Pop,1,3,4,2,0,0,1,4,2,4,2,1,4,3,2,0,2,3,0,2,4,4,4,3,3,4,1,3,1,2,0,4,4,2,0,2,2,3,3,4,2,2,3,0,2,4,3,2,3,4,4,4,4,2,3,1,3,1,0,3,4,1,0,1,1,2,1,4,4,1,1,1,4,3,0,4,2,3,0,2,3,2,1,0,4,0,0,0,2,1,4,0,3,1,4,2,2,1,4,3,3,4,3,4,5,4,5,3,5,3,5,3,4,3,5,3,3,4,5,3,3,5,4,4,4,5,4,4,3,4,4,5,4,4,3,3,0,0,0,2,2,2,2,4,0,1,0,4,4,0,4,4,4,1,1,3,4,2,3,1,2,1,0,1,1,2,0,3,2,3,0,0,2,1,0,1,1,2,2,2,2,2,4,2,4,4,1,1,3,0,2,2,0,3,4,3,3,4,0,1,2
18,51,Otro,Orinoquia,Salsa,Apasionado de la Salsa,3,2,0,3,3,2,2,1,1,3,1,3,2,4,0,4,3,2,4,3,2,4,1,0,0,1,2,0,2,3,2,4,1,3,3,0,1,2,1,1,0,3,3,4,4,4,2,2,1,1,3,1,2,4,3,2,0,0,2,2,1,3,0,0,3,1,1,3,3,4,3,3,1,2,2,4,0,1,0,3,0,3,1,4,1,2,2,2,0,3,1,4,0,2,0,1,3,1,0,1,1,4,3,3,3,3,0,4,2,0,2,0,0,2,2,4,0,2,0,3,0,2,4,3,2,2,0,2,3,1,3,1,2,1,4,1,0,1,1,2,2,0,4,4,1,1,1,1,3,0,2,3,4,1,3,1,0,3,3,1,2,2,2,2,3,3,3,5,5,4,4,3,3,3,4,3,3,5,3,5,4,4,5,3,5,3,5,4,4,4,3,3,3,4,3,4,5,5,5,3,5
19,65,Masculino,Andina,Vallenato,Amante del Vallenato,5,5,4,4,4,4,4,5,4,4,4,3,4,4,5,4,5,3,4,5,3,3,4,3,3,4,5,3,5,5,3,3,3,2,3,4,0,4,2,0,0,3,1,2,3,2,0,4,4,1,0,0,3,1,0,0,2,4,2,0,0,2,4,4,2,3,0,3,1,2,1,4,2,4,2,4,0,3,2,0,0,3,0,2,2,2,3,1,4,2,1,1,4,0,4,0,0,0,1,4,0,4,1,1,0,1,3,3,1,2,0,0,2,3,2,2,3,2,2,3,1,4,0,3,3,2,0,1,3,1,4,0,1,3,1,0,1,1,0,3,0,3,0,1,3,1,4,3,4,3,0,3,0,2,2,4,1,2,1,2,4,0,4,1,0,4,2,2,1,2,4,3,0,2,1,0,2,1,0,0,2,0,3,0,1,3,2,2,1,3,1,4,4,4,4,1,2,2,1,3,4
20,29,Otro,Caribe,Rock,Fan del Rock,2,0,1,3,1,2,2,1,1,0,0,3,4,0,1,1,4,1,0,0,4,4,4,0,0,4,4,3,3,1,2,4,4,0,4,3,0,2,1,0,3,4,1,0,3,3,0,3,3,3,3,0,0,1,2,2,1,3,2,1,3,2,1,4,1,1,3,5,5,4,3,3,3,3,3,3,3,5,5,4,5,3,5,4,4,3,4,3,3,3,5,5,3,3,4,5,5,5,4,2,2,0,2,2,4,2,4,3,3,3,0,0,4,0,1,0,3,3,4,2,2,4,4,0,1,3,3,0,1,0,2,4,0,2,0,1,3,2,1,0,4,1,1,2,0,3,0,3,4,2,1,0,1,1,3,1,1,1,1,2,0,4,3,2,3,0,1,0,0,1,0,0,0,0,1,1,0,2,1,1,2,4,4,4,3,3,2,1,0,3,2,3,4,3,1,4,1,1,3,0,0
21,40,Femenino,Amazonia,Folclor,Seguidor del Folclor,2,4,1,1,4,2,2,2,4,3,4,1,3,1,4,2,3,4,2,1,0,1,4,2,0,0,0,1,0,2,0,4,1,4,3,5,5,4,5,4,3,4,5,4,4,5,5,3,4,4,4,3,5,4,5,3,3,3,5,4,3,4,5,4,5,3,4,3,1,1,0,4,1,2,1,4,4,4,3,2,3,2,2,2,2,2,0,3,2,3,0,0,1,0,4,4,4,0,0,4,0,2,0,3,0,1,0,3,4,4,0,3,3,4,1,3,3,0,2,0,3,1,1,0,2,1,2,1,4,2,3,1,1,0,2,1,4,0,4,3,1,2,1,3,4,0,0,0,0,4,0,0,4,4,3,2,4,3,4,0,4,3,3,0,4,2,0,4,1,1,4,1,2,4,1,4,3,2,3,3,3,4,1,3,0,3,3,1,3,3,2,3,2,0,3,0,2,2,0,3,0
22,51,Otro,Orinoquia,Vallenato,Amante del Vallenato,3,4,4,5,5,5,4,4,4,3,3,5,3,3,5,3,4,5,4,3,3,4,3,3,5,5,4,3,3,4,4,3,5,3,2,4,3,3,4,2,4,0,0,1,0,0,0,3,2,0,4,3,4,4,2,1,2,3,2,4,3,1,0,1,1,4,3,2,3,1,4,0,2,4,2,3,1,4,0,3,2,0,4,3,0,4,0,0,0,1,3,3,4,1,2,4,2,0,1,4,0,1,4,2,4,4,4,0,0,2,4,3,4,1,3,4,4,1,0,4,0,4,2,3,2,4,3,1,3,2,1,1,0,3,4,1,1,1,1,0,3,4,4,3,3,1,4,1,0,1,3,2,1,1,2,1,3,0,2,1,2,0,0,0,3,3,1,1,2,3,0,3,2,1,1,1,1,2,2,1,1,2,4,0,3,3,1,0,2,4,0,0,3,4,1,0,2,2,4,4,2
23,20,Masculino,Andina,Salsa,Apasionado de la Salsa,1,4,0,0,0,3,3,1,1,4,4,0,4,4,1,0,3,4,3,3,1,2,1,4,4,4,0,0,4,0,1,2,1,3,4,3,0,0,0,2,3,2,1,4,3,2,2,1,3,4,3,3,3,0,4,4,2,1,3,3,3,3,3,3,3,0,3,1,1,3,0,1,4,4,3,3,1,3,4,0,4,1,0,4,4,4,4,2,3,4,1,3,3,3,0,0,3,3,4,3,2,0,3,3,3,3,1,1,2,2,3,3,0,3,1,0,2,3,3,0,2,1,4,4,1,0,0,0,3,3,0,2,1,0,0,1,3,2,4,2,0,1,2,2,2,3,0,1,3,3,3,2,2,0,3,3,4,4,2,1,0,4,2,0,0,4,4,4,5,5,3,5,5,3,5,5,3,5,5,4,3,3,4,5,3,5,4,4,3,4,5,4,5,5,5,4,4,3,5,5,5
24,51,Femenino,Pacifico,Folclor,Seguidor del Folclor,1,1,1,0,4,2,1,1,2,1,2,0,0,3,3,1,0,1,3,3,0,3,0,3,4,2,3,1,1,3,2,2,1,5,3,4,3,5,3,3,5,5,5,5,5,3,3,3,4,5,5,5,3,3,3,3,3,4,3,4,5,5,4,3,4,3,3,4,4,4,3,4,0,3,2,2,0,0,4,2,0,0,0,4,1,1,1,3,1,4,3,2,1,0,4,0,0,4,2,2,0,0,1,3,0,1,1,4,1,1,2,4,1,4,0,4,2,3,1,1,3,3,3,0,1,1,0,3,0,3,3,3,3,4,0,2,1,2,0,0,1,0,1,3,4,2,0,3,0,2,3,0,1,1,2,4,4,1,0,3,1,0,1,2,1,1,0,1,2,4,2,4,3,0,1,0,2,2,4,0,1,3,1,4,2,3,2,2,0,2,4,3,3,3,3,4,0,0,2,4,0
